Elapsed Time (s),n2dRaw,t,n2d
-97.8056838512421,132766281518980,0.150721066169211,132266238134863
-96.7962014675141,132010933478203,0.17410246974708,132266238134863
-95.8167610168457,131960780016755,0.201111037378164,132266238134863
-94.830245256424,131278730947019,0.232309452094947,132266238134863
-93.8612525463104,131343292573845,0.268347686115184,132266238134863
-92.8637280464173,131979354123559,0.309976542039029,132266238134863
-91.8700075149536,131366131355987,0.358063294696087,132266238134863
-90.8925278186798,130452487524617,0.413609759516815,132266238134863
-89.8955051898956,130827830635641,0.477773163855734,132266238134863
-88.6943438053131,130318139716744,0.551890256089177,132266238134863
-87.6883516311646,130760484896303,0.637505154764506,132266238134863
-86.6889200210571,132750635806611,0.736401517996083,132266238134863
-85.6594491004944,132633139539976,0.850639703309153,132266238134863
-84.6600184440613,132117177728048,0.982599692101304,132266238134863
-83.6815359592438,132402193861387,1.13503067298833,
-82.6655321121216,132104025899016,1.31110831702918,131667607526732
-81.6665601730347,132675574380332,1.51450093807357,
-80.6571068763733,134218516233178,1.74944591658376,
-79.6301503181458,135002301560880,2.02083797910658,
-78.6206743717194,135012212211884,2.33433117256588,131907046558181
-77.5912549495697,134185340290779,2.69645665785728,
-76.5617899894714,133835123302925,3.11475877679806,
-75.5743136405945,134155346791446,3.59795222718318,
-74.5249066352844,135231713627730,4.15610362045436,133577796653516
-73.5269358158112,136387078235542,4.80084120446394,
-72.4789702892304,136820520143567,5.54559712059324,133269981718655
-71.4914202690125,133333147459147,6.40588724228923,133931940399166
-70.4644403457642,130304741524863,7.39963442503629,133619000104608
-69.4550104141235,131308844026144,8.54754190219166,131467423247799
-68.4585154056549,130842559166371,9.87352460582726,130942833634666
-67.4590559005737,129602688070699,11.4052073985013,135581386435285
-66.4612770080567,128980426526660,13.1745005958721,138984180984510
-65.4858200550079,128054226368679,15.218264770305,141439571312970
-64.4893472194672,128706927705580,17.5790786856597,142231178478152
-63.4828660488129,129629790993467,20.3061263620282,143133863082098
-62.4634132385254,129510749398695,23.4562217510878,147412468401157
-61.4569232463837,130909488740269,27.0949923696453,145003954005391
-60.4574890136719,131998021420148,31.2982465506018,147277556861423
-59.4580292701721,132464587841582,36.1535527959656,149872571294465
-58.4485766887665,133521607589549,41.7620641353642,152380497237963
-57.4391009807587,132994591703718,48.240625497832,156540847738231
-56.3896918296814,131146627917781,55.7242080008071,153585701862664
-55.3902101516724,130668228283126,64.3687208710999,152686330550405
-54.3927638530731,130377029117530,74.3542595799936,157068969961986
-53.3833105564118,131109365164380,85.8888578625037,157103194563855
-52.3538444042206,132895846012352,99.2128217884945,158851034666864
-51.3344197273255,132715350553206,114.603736179531,158414235514601
-50.2949826717377,131228619262827,132.382247672655,163154020435016
-49.265517950058,130512903533235,152.918744912561,160616329757612
-48.2495815753937,131060390392231,176.641075043956,162490849059332
-47.260094165802,132196239873393,204.04345726566,167346463728168
-46.2369086742401,133226841934279,235.696779146995,168549632835544
-45.2274329662323,133219530053709,272.260490214781,167874457137601
-44.2279965877533,133818526361009,314.496340595998,170553757119723
-43.1810007095337,134684568717729,363.284250940147,169488007382315
-42.1515867710114,134179086635391,419.640644247366,172619311363117
-41.122118473053,134295467334512,484.739621518461,175779752160232
-40.0926790237427,134477054176578,559.937422389789,176135685783318
-39.0671899318695,133465410001733,646.800680353671,178401381333438
-38.0277302265167,133174978498049,747.139061219496,179326683501865
-36.9683253765106,133628281388540,863.042964788961,181445368084411
-35.6905014514923,132633193938208,996.927075203339,182284636517691
-34.5716350078583,132069791817255,1151.580667269,186968102812040
-33.4218637943268,131652401055901,1330.22571681807,187708691696856
-32.2723882198334,130388549420829,1536.5840257466,188946905441281
-31.0908977985382,128826047444876,1774.95476017966,192277294240406
-30.0060949325562,129705295269514,2050.30401715498,192578309819248
-28.9244043827057,129434617449066,2368.36828581273,195156334772192
-27.8235287666321,128781381301349,2735.77395855024,197828595512513
-26.7569642066956,129509600608204,3160.1753819775,198917192272447
-25.685186624527,129566785558732,3650.41432375827,200522047183142
-24.634384393692,130199078882555,4216.70417758934,204435381748747
-23.5897836685181,130880039758749,4870.84274395283,206294822604364
-22.5388722419739,129573288007443,5626.45801960936,208826184445586
-21.5145976543427,128427487826680,6499.29211648824,211342270034998
-20.4635534286499,129968362454778,7507.52922499881,213215158201215
-19.4290986061096,130871162566887,8672.17445438746,216850680096546
-18.3781497478485,129736467545074,10017.4914427113,218722311650677
-17.3338086605072,129093593279212,11571.5078533763,222171342559463
-16.2760720252991,129321282350121,13366.5992895033,225710264645652
-15.2583243846893,130315646519004,15440.1637911016,228751985739214
-14.2410023212433,132536971538751,17835.4009671899,232033762127548
-13.2296860218048,135964092311753,20602.2119949118,235346050374824
-12.1886885166168,136913742367906,23798.2392357823,238952300072729
-11.1943991184235,135521634489683,27490.0671279087,242676607491929
-10.1700365543365,136249873134684,31754.609372977,246288260699736
-9.11884236335755,136853163166163,36680.7113179673,249683639060185
-8.08453464508057,135516897044500,42371.0009148167,253197040514803
-7.06682205200195,135103230756069,48944.0268200033,256822884082587
-6.03246068954468,136707357446455,56536.7281781518,260418955247277
-5.00470805168152,136378588653068,65307.2875438982,263291391249215
-3.94704008102417,137281179088158,75438.4263783697,266340021274642
-2.92942833900452,138096544911786,87141.2117770065,269848404977758
-1.88514304161072,135458840675971,100659.453736198,273516679881201
-0.860725164413452,131905090420453,116274.784569193,276759902284380
0.140235662460327,131309636659486,134312.526293299,279997868540535
1.27478075027466,131667607526732,155148.468226599,282376564982108
2.36907243728638,131907046558181,179216.695995249,285727748313079
4.37113952636719,133577796653516,207018.63505699,289178326564534
5.45556378364563,133269981718655,239133.497149148,291908902003765
6.55658411979675,133931940399166,,
7.62432146072388,133619000104608,,
8.69879150390625,131467423247799,,
9.81646370887757,130942833634666,,
10.9038798809052,134034279653129,,
11.9952735900879,137164625611899,,
13.1031770706177,138984180984510,,
14.2475407123566,141218362127488,,
15.3320384025574,141661474604720,,
16.4164898395538,140955386746624,,
17.5074627399445,142624450753983,,
18.6086211204529,143131999009138,,
19.7096407413483,142495637635815,,
20.787380695343,143777831361470,,
21.9218263626099,146514415331054,,
23.0229592323303,147254114802158,,
