Parameters:
  Sample : 50
  Solvent : <unspecified>
  Comment : 7:27
  Exc_Wavelength : 376.7 nm
  Exc_Bandpass : 1.8 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Intensity : 94 %
  Exc_Attenuation : open (5)
  Det_Wavelength : 496.0 nm
  Det_Bandpass : 9.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 7.7 mm
  Det_Attenuation : 10 %
  Det_Filter : 405 LP (5)
  Det_Grating : 1200gr_500bl (1)
  Detector : UV-VIS [HPD]
  Meas_Time : 0.0 s
  Meas_BinWidth : 128000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 10000 counts
  Meas_PeakCounts : 10000 counts
  Sync_Frequency : 3000 Hz
  Sync_Source : PDL 820
  Base Sync Rate : 40.0 MHz
  Number of Bursts : 50 
  Effective Sync Rate : 3.0 kHz
  Signal_Rate : 940 cps
  Start_Date : 12/11/2023
  Start_Time : 10:20:22
  PhotonCounter : TimeHarp 260 N 1031483 0111-0120-01.21
  EasyTau : 3313
  Signal_TrigLevel : -30 mV
  Signal_TrigEdge : false
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -80 mV
  Sync_TrigEdge : false
  Sync_Offset : 36000 ps
  Sync_SyncDiv : 1 

Data:
Time [ns]	Intensity [Cnts.]
0	909
127.999996379913	2001
255.999992759826	3144
383.999974928884	4275
511.999985519651	5381
639.999996110419	6378
767.999949857767	7254
895.999960448535	8457
1023.9999710393	9202
1151.99998163007	10000
1279.99999222084	9906
1408.0000028116	9698
1535.99989971553	9529
1663.9999103063	9435
1791.99992089707	9288
1919.99993148784	9095
2047.9999420786	8847
2175.99995266937	8703
2303.99996326014	8767
2431.99997385091	8370
2559.99998444167	8063
2687.99999503244	8048
2816.00000562321	7992
2944.00001621398	7723
3071.99979943107	7395
3199.99981002184	7476
3327.9998206126	7198
3455.99983120337	7154
3583.99984179414	6981
3711.99985238491	6979
3839.99986297567	6701
3967.99987356644	6625
4095.99988415721	6578
4223.99989474798	6362
4351.99990533874	6331
4479.99991592951	6077
4607.99992652028	6010
4735.99993711105	5765
4863.99994770181	5900
4991.99995829258	5676
5119.99996888335	5570
5247.99997947412	5518
5375.99999006488	5446
5504.00000065565	5181
5632.00001124642	5071
5760.00002183719	5098
5888.00003242795	5049
6016.00004301872	4967
6143.99959886214	4830
6271.9996094529	4808
6399.99962004367	4700
6527.99963063444	4519
6655.99964122521	4468
6783.99965181598	4439
6911.99966240674	4288
7039.99967299751	4107
7167.99968358828	4019
7295.99969417905	4056
7423.99970476981	4041
7551.99971536058	4025
7679.99972595135	3935
7808.00019128947	3810
7935.99974713288	3685
8064.000212471	3681
8191.99976831442	3598
8319.99932415783	3460
8447.99978949595	3366
8575.99934533937	3348
8703.99981067749	3231
8831.9993665209	3287
8959.99983185902	3222
9087.99938770244	3121
9215.99985304056	3054
9343.99940888397	2891
9471.99987422209	3017
9599.99943006551	2898
9727.99989540363	2866
9855.99945124704	2811
9983.99991658516	2711
10111.9994724286	2731
10239.9999377667	2704
10367.9994936101	2636
10495.9999589482	2548
10623.9995147916	2509
10751.9999801298	2407
10879.9995359732	2467
